[2026-08-14T06:21:39.000Z] GET http://localhost:3000/_next/static/media/fraunces_latin_wght_italic-s.p.0by3gh2t3oa9b.woff2 → 200 (?ms, -300B)
[2026-08-14T06:21:39.000Z] GET http://localhost:3000/_next/static/media/fraunces_latin_wght_normal-s.p.1v4l5w6-86t-v.woff2 → 200 (?ms, -300B)
[2026-08-14T06:21:39.000Z] GET http://localhost:3000/_next/static/media/inter_latin_wght_normal-s.p.0gsaq8ukbf34m.woff2 → 200 (?ms, -300B)
[2026-08-14T06:21:39.000Z] GET http://localhost:3000/brand/rbw-mark.jpg → 304 (7ms, ?B)
[2026-08-14T06:21:39.005Z] GET http://localhost:3000/_next/static/chunks/src_app_16g7nni._.css → 304 (2ms, ?B)
[2026-08-14T06:21:39.005Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1xx01vv._.js → 304 (6ms, ?B)
[2026-08-14T06:21:39.005Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_next-devtools_index_090k2jm.js → 304 (3ms, ?B)
[2026-08-14T06:21:39.005Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js → 304 (6ms, ?B)
[2026-08-14T06:21:39.005Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_164kp-6._.js → 304 (6ms, ?B)
[2026-08-14T06:21:39.005Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_1amofcm._.js → 304 (6ms, ?B)
[2026-08-14T06:21:39.005Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js → 304 (6ms, ?B)
[2026-08-14T06:21:39.005Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js → 304 (6ms, ?B)
[2026-08-14T06:21:39.005Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40swc_helpers_cjs_1r9vbqw._.js → 304 (11ms, ?B)
[2026-08-14T06:21:39.005Z] GET http://localhost:3000/_next/static/chunks/_1anvha4._.js → 304 (8ms, ?B)
[2026-08-14T06:21:39.005Z] GET http://localhost:3000/_next/static/chunks/turbopack-_01_ro95._.js → 304 (11ms, ?B)
[2026-08-14T06:21:39.005Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_1e9_p6y._.js → 304 (11ms, ?B)
[2026-08-14T06:21:39.005Z] GET http://localhost:3000/_next/static/chunks/src_app_layout_tsx_007e4b2._.js → 304 (12ms, ?B)
[2026-08-14T06:21:39.006Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_07z50wt._.js → 200 (21ms, 33454B)
[2026-08-14T06:21:39.006Z] GET http://localhost:3000/_next/static/chunks/src_app_(auth)_layout_tsx_097lp6p._.js → 200 (19ms, 263B)
[2026-08-14T06:21:39.006Z] GET http://localhost:3000/_next/static/chunks/node_modules_1zq98o-._.js → 304 (17ms, ?B)
[2026-08-14T06:21:39.006Z] GET http://localhost:3000/_next/static/chunks/src_0h4xi1i._.js → 304 (18ms, ?B)
[2026-08-14T06:21:39.006Z] GET http://localhost:3000/_next/static/chunks/src_app_not-found_tsx_097lp6p._.js → 200 (19ms, 286B)
[2026-08-14T06:21:39.006Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_components_builtin_global-error_097lp6p.js → 304 (19ms, ?B)
[2026-08-14T06:21:39.007Z] GET http://localhost:3000/_next/static/chunks/node_modules_0b7-gon._.js → 200 (24ms, 25885B)
[2026-08-14T06:21:39.007Z] GET http://localhost:3000/_next/static/chunks/src_1azr4em._.js → 200 (19ms, 4436B)
[2026-08-14T06:21:39.007Z] GET http://localhost:3000/_next/static/chunks/src_app_(auth)_login_page_tsx_1th9e49._.js → 200 (19ms, 286B)
[2026-08-14T06:21:39.007Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_0dfntjm._.js → 304 (19ms, ?B)
[2026-08-14T06:21:39.007Z] GET http://localhost:3000/_next/static/chunks/src_app_loading_tsx_097lp6p._.js → 304 (19ms, ?B)
[2026-08-14T06:21:39.022Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1mojsay._.js → 304 (8ms, ?B)
[2026-08-14T06:21:39.023Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1xch-cm._.js → 304 (8ms, ?B)
[2026-08-14T06:21:39.636Z] GET http://localhost:3000/login → 200 (22ms, 14862B)
[2026-08-14T06:21:39.660Z] GET http://localhost:3000/_next/static/media/fraunces_latin_wght_italic-s.p.0by3gh2t3oa9b.woff2 → 200 (?ms, -300B)
[2026-08-14T06:21:39.660Z] GET http://localhost:3000/_next/static/media/fraunces_latin_wght_normal-s.p.1v4l5w6-86t-v.woff2 → 200 (?ms, -300B)
[2026-08-14T06:21:39.660Z] GET http://localhost:3000/_next/static/media/inter_latin_wght_normal-s.p.0gsaq8ukbf34m.woff2 → 200 (?ms, -300B)
[2026-08-14T06:21:39.660Z] GET http://localhost:3000/brand/rbw-mark.jpg → 304 (4ms, ?B)
